"Method","Path","TestedPath","Controller","Source","BackendStatus","ProxyStatus","BackendReachable","ProxyReachable","BothReachable"
"DELETE","/api/backup/{backupPath}","/api/backup/1","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:140","403","403","True","True","True"
"DELETE","/api/backup/cleanup","/api/backup/cleanup","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:177","403","403","True","True","True"
"DELETE","/api/cloud-storage/configs/{configId}","/api/cloud-storage/configs/1","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:120","403","403","True","True","True"
"DELETE","/api/files/{fileId}","/api/files/1","FileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\FileController.java:126","403","403","True","True","True"
"DELETE","/api/mobile/files/{fileId}/favorite","/api/mobile/files/1/favorite","MobileFileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFileController.java:74","403","403","True","True","True"
"DELETE","/api/monitoring/cleanup","/api/monitoring/cleanup","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:153","403","403","True","True","True"
"DELETE","/api/recommendations/cleanup","/api/recommendations/cleanup","RecommendationController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\RecommendationController.java:165","403","403","True","True","True"
"GET","/api/ai/analyze-behavior","/api/ai/analyze-behavior","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:306","403","403","True","True","True"
"GET","/api/ai/models","/api/ai/models","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:425","403","403","True","True","True"
"GET","/api/ai/smart-search","/api/ai/smart-search","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:265","403","403","True","True","True"
"GET","/api/auth/me","/api/auth/me","AuthController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AuthController.java:103","401","401","True","True","True"
"GET","/api/backup/config/export","/api/backup/config/export","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:260","403","403","True","True","True"
"GET","/api/backup/list","/api/backup/list","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:124","403","403","True","True","True"
"GET","/api/backup/statistics","/api/backup/statistics","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:194","403","403","True","True","True"
"GET","/api/backup/task/{taskId}","/api/backup/task/1","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:156","403","403","True","True","True"
"GET","/api/cloud-storage/configs","/api/cloud-storage/configs","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:61","403","403","True","True","True"
"GET","/api/cloud-storage/configs/{configId}","/api/cloud-storage/configs/1","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:45","403","403","True","True","True"
"GET","/api/cloud-storage/configs/{configId}/usage","/api/cloud-storage/configs/1/usage","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:157","403","403","True","True","True"
"GET","/api/cloud-storage/configs/default","/api/cloud-storage/configs/default","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:90","403","403","True","True","True"
"GET","/api/cloud-storage/configs/enabled","/api/cloud-storage/configs/enabled","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:76","403","403","True","True","True"
"GET","/api/cloud-storage/configs/info","/api/cloud-storage/configs/info","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:179","403","403","True","True","True"
"GET","/api/demo/health","/api/demo/health","DemoController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\DemoController.java:21","403","403","True","True","True"
"GET","/api/demo/info","/api/demo/info","DemoController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\DemoController.java:38","403","403","True","True","True"
"GET","/api/files/{fileId}","/api/files/1","FileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\FileController.java:90","403","403","True","True","True"
"GET","/api/files/{fileId}/download","/api/files/1/download","FileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\FileController.java:57","403","403","True","True","True"
"GET","/api/files/my","/api/files/my","FileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\FileController.java:106","403","403","True","True","True"
"GET","/api/files/public","/api/files/public","FileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\FileController.java:144","200","200","True","True","True"
"GET","/api/mobile/enhanced/activity/recent","/api/mobile/enhanced/activity/recent","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:153","403","403","True","True","True"
"GET","/api/mobile/enhanced/announcements","/api/mobile/enhanced/announcements","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:278","403","403","True","True","True"
"GET","/api/mobile/enhanced/config","/api/mobile/enhanced/config","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:179","403","403","True","True","True"
"GET","/api/mobile/enhanced/files/{fileId}/preview-info","/api/mobile/enhanced/files/1/preview-info","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:57","403","403","True","True","True"
"GET","/api/mobile/enhanced/files/{fileId}/thumbnail-info","/api/mobile/enhanced/files/1/thumbnail-info","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:37","403","403","True","True","True"
"GET","/api/mobile/enhanced/storage/usage","/api/mobile/enhanced/storage/usage","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:116","403","403","True","True","True"
"GET","/api/mobile/enhanced/version/check","/api/mobile/enhanced/version/check","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:223","403","403","True","True","True"
"GET","/api/mobile/files/favorites","/api/mobile/files/favorites","MobileFileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFileController.java:43","403","403","True","True","True"
"GET","/api/mobile/files/offline-available","/api/mobile/files/offline-available","MobileFileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFileController.java:106","403","403","True","True","True"
"GET","/api/mobile/files/recent","/api/mobile/files/recent","MobileFileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFileController.java:28","403","403","True","True","True"
"GET","/api/mobile/files/search","/api/mobile/files/search","MobileFileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFileController.java:90","403","403","True","True","True"
"GET","/api/mobile/folders","/api/mobile/folders","MobileFolderController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFolderController.java:28","403","403","True","True","True"
"GET","/api/mobile/folders/{folderId}/breadcrumb","/api/mobile/folders/1/breadcrumb","MobileFolderController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFolderController.java:59","403","403","True","True","True"
"GET","/api/mobile/folders/{folderId}/subfolders","/api/mobile/folders/1/subfolders","MobileFolderController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFolderController.java:43","403","403","True","True","True"
"GET","/api/mobile/folders/quick-access","/api/mobile/folders/quick-access","MobileFolderController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFolderController.java:75","403","403","True","True","True"
"GET","/api/mobile/upload/progress/{uploadId}","/api/mobile/upload/progress/1","MobileUploadController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileUploadController.java:90","403","403","True","True","True"
"GET","/api/monitoring/alerts","/api/monitoring/alerts","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:94","403","403","True","True","True"
"GET","/api/monitoring/health","/api/monitoring/health","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:46","403","403","True","True","True"
"GET","/api/monitoring/metrics","/api/monitoring/metrics","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:32","403","403","True","True","True"
"GET","/api/monitoring/metrics/history","/api/monitoring/metrics/history","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:61","403","403","True","True","True"
"GET","/api/monitoring/report","/api/monitoring/report","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:78","403","403","True","True","True"
"GET","/api/monitoring/statistics","/api/monitoring/statistics","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:175","403","403","True","True","True"
"GET","/api/preview/{fileId}","/api/preview/1","PreviewController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\PreviewController.java:34","403","403","True","True","True"
"GET","/api/preview/{fileId}/content","/api/preview/1/content","PreviewController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\PreviewController.java:59","403","403","True","True","True"
"GET","/api/preview/{fileId}/image","/api/preview/1/image","PreviewController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\PreviewController.java:121","403","403","True","True","True"
"GET","/api/preview/{fileId}/pdf","/api/preview/1/pdf","PreviewController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\PreviewController.java:104","403","403","True","True","True"
"GET","/api/preview/{fileId}/statistics","/api/preview/1/statistics","PreviewController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\PreviewController.java:141","403","403","True","True","True"
"GET","/api/preview/{fileId}/text","/api/preview/1/text","PreviewController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\PreviewController.java:89","403","403","True","True","True"
"GET","/api/preview/popular","/api/preview/popular","PreviewController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\PreviewController.java:176","403","403","True","True","True"
"GET","/api/preview/user/statistics","/api/preview/user/statistics","PreviewController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\PreviewController.java:158","403","403","True","True","True"
"GET","/api/recommendations","/api/recommendations","RecommendationController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\RecommendationController.java:57","403","403","True","True","True"
"GET","/api/recommendations/analytics","/api/recommendations/analytics","RecommendationController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\RecommendationController.java:125","403","403","True","True","True"
"GET","/api/recommendations/similar/{itemId}","/api/recommendations/similar/1","RecommendationController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\RecommendationController.java:144","403","403","True","True","True"
"GET","/api/users/profile","/api/users/profile","UserController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\UserController.java:36","403","403","True","True","True"
"POST","/api/ai/analyze-file","/api/ai/analyze-file","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:177","403","403","True","True","True"
"POST","/api/ai/classify-text","/api/ai/classify-text","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:140","403","403","True","True","True"
"POST","/api/ai/document-summary","/api/ai/document-summary","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:38","403","403","True","True","True"
"POST","/api/ai/keywords","/api/ai/keywords","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:400","403","403","True","True","True"
"POST","/api/ai/question-answer","/api/ai/question-answer","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:74","403","403","True","True","True"
"POST","/api/ai/recognize-image","/api/ai/recognize-image","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:209","403","403","True","True","True"
"POST","/api/ai/recommend-tags","/api/ai/recommend-tags","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:238","403","403","True","True","True"
"POST","/api/ai/sentiment","/api/ai/sentiment","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:377","403","403","True","True","True"
"POST","/api/ai/similarity","/api/ai/similarity","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:323","403","403","True","True","True"
"POST","/api/ai/summarize","/api/ai/summarize","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:352","403","403","True","True","True"
"POST","/api/ai/test-model/{modelId}","/api/ai/test-model/1","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:452","403","403","True","True","True"
"POST","/api/ai/text-correction","/api/ai/text-correction","AIController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AIController.java:107","403","403","True","True","True"
"POST","/api/auth/debug-login","/api/auth/debug-login","AuthController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AuthController.java:94","400","400","True","True","True"
"POST","/api/auth/login","/api/auth/login","AuthController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AuthController.java:58","400","400","True","True","True"
"POST","/api/auth/register","/api/auth/register","AuthController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\AuthController.java:29","400","400","True","True","True"
"POST","/api/backup/async","/api/backup/async","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:71","403","403","True","True","True"
"POST","/api/backup/config/import","/api/backup/config/import","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:283","403","403","True","True","True"
"POST","/api/backup/full","/api/backup/full","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:34","403","403","True","True","True"
"POST","/api/backup/incremental","/api/backup/incremental","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:52","403","403","True","True","True"
"POST","/api/backup/restore","/api/backup/restore","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:106","403","403","True","True","True"
"POST","/api/backup/validate","/api/backup/validate","BackupController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\BackupController.java:237","403","403","True","True","True"
"POST","/api/cloud-storage/configs","/api/cloud-storage/configs","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:30","403","403","True","True","True"
"POST","/api/cloud-storage/configs/{configId}/test-connection","/api/cloud-storage/configs/1/test-connection","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:135","403","403","True","True","True"
"POST","/api/demo/register","/api/demo/register","DemoController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\DemoController.java:26","403","403","True","True","True"
"POST","/api/files/upload","/api/files/upload","FileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\FileController.java:37","403","403","True","True","True"
"POST","/api/mobile/enhanced/feedback","/api/mobile/enhanced/feedback","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:255","403","403","True","True","True"
"POST","/api/mobile/enhanced/files/batch-operate","/api/mobile/enhanced/files/batch-operate","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:77","403","403","True","True","True"
"POST","/api/mobile/enhanced/sync","/api/mobile/enhanced/sync","MobileEnhancedController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileEnhancedController.java:96","403","403","True","True","True"
"POST","/api/mobile/files/{fileId}/favorite","/api/mobile/files/1/favorite","MobileFileController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileFileController.java:58","403","403","True","True","True"
"POST","/api/mobile/upload","/api/mobile/upload","MobileUploadController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileUploadController.java:29","403","403","True","True","True"
"POST","/api/mobile/upload/chunk","/api/mobile/upload/chunk","MobileUploadController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileUploadController.java:52","403","403","True","True","True"
"POST","/api/mobile/upload/init-chunk","/api/mobile/upload/init-chunk","MobileUploadController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\mobile\MobileUploadController.java:72","403","403","True","True","True"
"POST","/api/monitoring/alerts/test","/api/monitoring/alerts/test","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:133","403","403","True","True","True"
"POST","/api/recommendations/generate","/api/recommendations/generate","RecommendationController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\RecommendationController.java:38","403","403","True","True","True"
"POST","/api/upload/chunk","/api/upload/chunk","ChunkUploadController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\upload\ChunkUploadController.java:110","403","403","True","True","True"
"POST","/api/upload/chunk/complete","/api/upload/chunk/complete","ChunkUploadController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\upload\ChunkUploadController.java:158","403","403","True","True","True"
"POST","/api/upload/chunk/init","/api/upload/chunk/init","ChunkUploadController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\upload\ChunkUploadController.java:64","403","403","True","True","True"
"POST","/api/users/change-password","/api/users/change-password","UserController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\UserController.java:75","403","403","True","True","True"
"PUT","/api/cloud-storage/configs/{configId}","/api/cloud-storage/configs/1","CloudStorageController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\CloudStorageController.java:104","403","403","True","True","True"
"PUT","/api/monitoring/alerts/{alertId}/close","/api/monitoring/alerts/1/close","MonitoringController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\MonitoringController.java:118","403","403","True","True","True"
"PUT","/api/recommendations/{id}/adopt","/api/recommendations/1/adopt","RecommendationController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\RecommendationController.java:105","403","403","True","True","True"
"PUT","/api/recommendations/{id}/view","/api/recommendations/1/view","RecommendationController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\RecommendationController.java:85","403","403","True","True","True"
"PUT","/api/users/profile","/api/users/profile","UserController","C:\Users\Admin\Desktop\filesharing\src\main\java\com\filesharing\controller\UserController.java:49","403","403","True","True","True"
